gif_name,greek_unicode
enthymema.gif,ἐνθύμημα
epanalepsis.gif,ἐπανάληψις
epanodos.gif,ἐπάνοδος
epanorthosis.gif,ἐπανόρθωσις
epenthesis.gif,ἐπένθεσις
epexegesis.gif,ἐπεξήγησις
epicrisis.gif,ἐπικρίσις
epideictikos.gif,ἐπιδεικτικός
epilogos.gif,ἐπίλογος
epimone.gif,ἐπιμονή
epiphonema.gif,ἐπιφώνημα
epiplexis.gif,ἐπίπληξις
epistasis.gif,ἐπίτασις
epistrophe.gif,ἐπιστροφή
episynaloephe.gif,ἐπισυνάλειφη
epitheton.gif,ἐπίθετον
epitrochasmus.gif,ἐπιτροχασμός
epitrope.gif,ἐπιτροπή
epizeugma.gif,ἐπιζεύγμα
epizeuxis.gif,ἐπίζευξις
erotema.gif,ἐρώτημα
ethopoeia.gif,ἠθοποιία
ethos.gif,ἦθος
eucharistia.gif,εὐχαριστία
euche.gif,εὐχή
eulogia.gif,εὐλογία
euphemismus.gif,εὐφημισμός
eustathia.gif,εὐστάθεια
exergasia.gif,ἐξεργασία
exouthenismos.gif,ἐξουθενισμός
geographia.gif,γεωγραφία
gnome.gif,γνώμη
hendiadys.gif,ἓν διά δυοῖν
heterogenos.gif,ἑτερογένος
heuresis.gif,εὕρεσις
homiologia.gif,ὁμιολογία
homoeoprophoron.gif,ὁμοιοπρόφερον
homoeosis.gif,ὅμοίωσις
homoioptoton.gif,ὅμοιόπτωτον
homoioteleuton.gif,ὅμοιοτέλευτον
horismus.gif,ὁρισμός
hydrographia.gif,ὑδρογραφία
hypallage.gif,ὑπαλλαγή
hyperbaton.gif,ὑπέρβατον
hyperbole.gif,ὑπερβολή
hypocrisis.gif,ὑπόκρισις
hypotyposis.gif,ὑποτύπωσις
hypozeugma.gif,ὑπεζευγμένον
hypozeuxis.gif,ὑπόζευξις
hysterologia.gif,ὑστερολογία
hysteron proteron.gif,ὕστερον πρότερον
icon.gif,εἰκών
ironia.gif,εἰρωνεία
isocolon.gif,ἰσόκωλον
isodynamia.gif,ἰσοδυνάμια
kata enallagen.gif,κατὰ ἐναλλαγήν
kata endeian.gif,κατὰ ἔνδειαν
kata metathesin.gif,κατὰ μετάθεσιν
kata pleonasmon.gif,κατὰ πλεονασμόν
koinos topos.gif,κοινὸς τόπος
lexis.gif,λέξις
litotes.gif,λιτότης
logos.gif,λόγος
macrologia.gif,μακρολογία
martyria.gif,μαρτύρια
meiosis.gif,μείωσις
mempsis.gif,μέμψις
merismus.gif,μερισμός
mesarchia.gif,μεσαρχία
mesodiplosis.gif,μεσοδίπλωσις
metabasis.gif,μετάβασις
metalepsis.gif,μετάληψις
metallage.gif,μεταλλαγή
metanoeia.gif,μετάνοια
metaphor.gif,μεταφορά
metaplasmus.gif,μεταπλασμός
metastasis.gif,μετάστασις
metathesis.gif,μετάθεσις
metonymia.gif,μετωνυμία
mimesis.gif,μίμησις
mneme.gif,μνήμη
mycterismus.gif,μυκτηρισμός
noema.gif,νόημα
oeonismus.gif,οἰωνισμός
onomatopoeia.gif,ὀνοματοποιία
orcos.gif,ὁρκος
oxymoron.gif,ὀξύμωρον
palillogia.gif,παλιλλογία
parabole.gif,παραβολή
paradiastole.gif,παραδιαστολή
paradiegesis.gif,παραδιήγησις
paradigma.gif,παράδειγμα
paradox.gif,παράδοξος
paraenesis.gif,παραίνεσις
paragoge.gif,παραγωγή
paralipsis.gif,παράλεπψις
paramythia.gif,παραμυθία
parecbasis.gif,παρέκβασις
paregmenon.gif,παρηγμένον
parelcon.gif,παρέλκων
parembole.gif,παρεμβολή
parenthesis.gif,παρένθεσις
pareuresis.gif,παρεύρεσις
paroemia.gif,παροιμία
paromoion.gif,παρόμοιον
paromoiosis.gif,παρομοίωσις
paromologia.gif,παρομολογία
paronomasia.gif,παρονομασία
parrhesia.gif,παρρησία
pathopoeia.gif,παθοποιία
pathos.gif,πάθος
periergia.gif,περιεργία
period.gif,περίοδος
periphrasis.gif,περίφρασις
perissologia.gif,περισσολογία
peristasis.gif,περίστασις
philophronesis.gif,φιλοφρόνεσις
pleonasmus.gif,πλεονασμός
ploce.gif,πλοκή
polyptoton.gif,πολύπτωτον
polysyndeton.gif,πολυσύνδετον
pragmatographia.gif,πραγματογραφία
procatalepsis.gif,προκατάληψις
prodiorthosis.gif,προδιόρθωσις
proecthesis.gif,προέκθεσις
progymnasmata.gif,προγυμνάσματα
prolepsis.gif,πρόληψις
prosapodosis.gif,προσαπόδοσις
proslepsis.gif,πρόσληψις
prosonomasia.gif,προσονομασία
prosopopoeia.gif,προσωποποιία
prosphonesis.gif,προσφώνησις
protherapeia.gif,προθεραπεία
prothesis.gif,πρόθεσις
protrope.gif,προτροπή
prozeugma.gif,προζεῦγμα
pysma.gif,πύσμα
rhetoric.gif,ῥητορική
sarcasmus.gif,σαρκασμός
schematismus.gif,σχηματισμός
skotison.gif,σκότισον
solecism.gif,σολοικισμός
sorites.gif,σωρείτης
stasis.gif,στάσις
syllepsis.gif,σύλληψις
syllogismus.gif,συλλογισμός
symperasma.gif,συμπέρασμα
symploce.gif,συμπλοκή
synaeresis.gif,συναίρεσις
synaloepha.gif,συναλοιφή
synathroesmus.gif,συναθροισμός
synchisis.gif,σύγχυσις
synchoresis.gif,συγχώρησις
synchysis.gif,σύγχυσις
syncope.gif,συγκοπή
syncrisis.gif,σύγκρισις
synecdoche.gif,συνεκδοχή
synoeciosis.gif,συνοικείωσις
synonymia.gif,συνωνυμία
synthesis.gif,σύνθεσις
syntheton.gif,σύνθετον
synzeugma.gif,συνζεῦγμα
systole.gif,συστολή
systrophe.gif,συστροφή
tapinosis.gif,ταπείνωσις
tautologia.gif,ταὐτολογία
taxis.gif,τάξις
thaumasmus.gif,θαυμασμός
tmesis.gif,τμῆσις
topographia.gif,τοπογραφία
topoi.gif,τόποι
tricolon.gif,τρίκωλος
trope.gif,τρόπος
zeugma.gif,ζεῦγμα
