languageid,letter,phonetic_value
arabic,ﻰ-,ā (alif maqsura)
sanskrit,अ,a
sanskrit,आ,ā
sanskrit,इ,i
sanskrit,ई,ī
sanskrit,उ,u
sanskrit,ऊ,ū
sanskrit,ऋ,ṛ
sanskrit,ॠ,ṝ
sanskrit,ऌ,ḷ
sanskrit,ॡ,ḹ
sanskrit,ए,e
sanskrit,ऐ,ai
sanskrit,ओ,o
sanskrit,औ,au
sanskrit,क,ka
sanskrit,ख,kha
sanskrit,ग,ga
sanskrit,घ,gha
sanskrit,ङ,ṅa
sanskrit,च,ca
sanskrit,छ,cha
sanskrit,ज,ja
sanskrit,झ,jha
sanskrit,ञ,ña
sanskrit,ट,ṭa
sanskrit,ठ,ṭha
sanskrit,ड,ḍa
sanskrit,ढ,ḍha
sanskrit,ण,ṇa
sanskrit,त,ta
sanskrit,थ,tha
sanskrit,द,da
sanskrit,ध,dha
sanskrit,न,na
sanskrit,प,pa
sanskrit,फ,pha
sanskrit,ब,ba
sanskrit,भ,bha
sanskrit,म,ma
sanskrit,य,ya
sanskrit,र,ra
sanskrit,ल,la
sanskrit,व,va
sanskrit,श,śa
sanskrit,ष,ṣa
sanskrit,स,sa
sanskrit,ह,ha
sanskrit,ं,ṃ (anusvara)
sanskrit,ः,ḥ (visarga)
